"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
66761040,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,489,4,46.3386297246118,"True"
66761051,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,490,7,91.8232291360609,"True"
66761053,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,490,9,49.6833618288641,"True"
66761058,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,490,14,56.6800430143168,"True"
66761062,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,490,18,46.2309302544201,"True"
66761063,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,490,19,45.4144422569799,"True"
66761073,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,491,4,47.3209995906783,"True"
66761075,"YDR354W","TRP4","","dma1082","Pil1_R1_Plate03",6,3,491,6,45.2870358507052,"True"
66768062,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,777,10,57.2895610743502,"True"
66768069,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,777,17,89.0707814583977,"True"
66768154,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,7,55.6944411040776,"True"
66768156,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,9,54.895285819602,"True"
66768157,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,10,56.4714278993666,"True"
66768165,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,18,49.8531830085296,"True"
66768168,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,21,60.9934538611505,"True"
66768178,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,32,49.5455069312319,"True"
66768183,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,38,60.7773171572332,"True"
66768186,"YDR130C","FIN1","","dma914","Pil1_R1_Plate03",9,3,778,42,53.7826869215387,"True"
