"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
75142501,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,7,38.8130900611764,"True"
75142505,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,11,42.43985183585,"True"
75142508,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,14,42.7392530832274,"True"
75142512,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,18,41.4875169162306,"True"
75142514,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,20,41.8736114185358,"True"
75142517,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,23,40.2206228913425,"True"
75142519,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,25,37.9460337032201,"True"
75142533,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,905,39,39.6189246735729,"True"
75142537,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,906,2,41.960308381629,"True"
75142541,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,906,6,49.9699249723911,"True"
75142554,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,906,19,37.8037266612331,"True"
75142555,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,906,20,43.4621903200398,"True"
75142563,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,906,28,46.7585953581196,"True"
75142564,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,906,29,38.7792613027729,"True"
75142568,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,6,45.6200035910227,"True"
75142574,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,12,49.8665921970678,"True"
75142579,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,18,39.387463554076,"True"
75142581,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,20,44.4800089830575,"True"
75142584,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,23,42.0936433718627,"True"
75142586,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,25,37.8162945379288,"True"
75142592,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,31,44.7546998731024,"True"
75142593,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,32,69.2775094985356,"True"
75142596,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,35,42.6276968287775,"True"
75142597,"YBR189W","RPS9B","","dma342","Psr1_R1_Plate01",10,11,907,36,43.7279795149936,"True"
