"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
225756165,"YGL234W","ADE5,7","","dma1759","Sac6_R1_Plate05",6,14,536,1,56.218613424435,"True"
225756166,"YGL234W","ADE5,7","","dma1759","Sac6_R1_Plate05",6,14,536,2,77.7700163433724,"True"
231553914,"YGL234W","ADE5,7","","dma1759","Sac6_R2_Plate05",6,14,535,2,49.0722228517712,"True"
226403274,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,945,53,52.1388561113527,"True"
226403318,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,945,100,51.1459091219707,"True"
226403348,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,945,131,54.3505694568066,"True"
226403448,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,946,72,49.5611997246747,"True"
226403485,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,946,111,53.2544681668462,"True"
226403489,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,946,115,50.7039919424407,"True"
226403513,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,946,139,50.2286896692261,"True"
226403591,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,947,22,49.5102981686788,"True"
226403672,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,947,107,49.3238333344974,"True"
226403803,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,948,43,51.3678289487692,"True"
226403816,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,948,58,56.5858604074265,"True"
226403885,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,948,133,54.8237902274248,"True"
226403917,"YIL020C","HIS6","","dma2267","Sac6_R1_Plate06",10,21,948,167,64.6506320148366,"True"
238041328,"YIL020C","HIS6","","dma2267","Sac6_R3_Plate06",10,21,947,1,84.5751176820321,"True"
238041329,"YIL020C","HIS6","","dma2267","Sac6_R3_Plate06",10,21,948,1,67.7563537214037,"True"
226793999,"YJR073C","OPI3","","dma2664","Sac6_R1_Plate07",12,23,1146,6,49.2617344132735,"True"
