"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
129525916,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,569,3,41.8022095049856,"True"
129525926,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,569,13,123.142812863121,"True"
129525932,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,569,19,42.2222976367686,"True"
129525940,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,570,8,42.9399302453879,"True"
129525946,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,571,2,42.8995635671877,"True"
129525952,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,571,8,46.3127829148707,"True"
129525956,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,571,12,43.9680672355891,"True"
129525957,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,571,13,49.4526067343117,"True"
129525960,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,571,16,44.9952180177683,"True"
129525964,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,572,4,51.6581438458979,"True"
129525978,"YBR157C","ICS2","","dma324","Sec21_R1_Plate01",6,23,572,18,48.9988978435368,"True"
131282390,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,3,41.550399987968,"True"
131282393,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,6,43.5156894124554,"True"
131282395,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,8,41.2861240048399,"True"
131282400,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,13,57.8396850787855,"True"
131282413,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,26,43.9441024632291,"True"
131282424,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,37,46.2066799947636,"True"
131282425,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,38,41.4903702806539,"True"
131282432,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,45,50.4279685807851,"True"
131282433,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,46,43.0664881570222,"True"
131282435,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,569,48,71.5785927750385,"True"
131282445,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,6,44.7486515696037,"True"
131282448,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,9,42.4952120460507,"True"
131282462,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,24,52.0748386108684,"True"
131282469,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,31,41.6927007106083,"True"
131282476,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,38,43.2689568499192,"True"
131282489,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,53,46.224080308294,"True"
131282494,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,58,53.6971215142913,"True"
131282495,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,570,59,45.6763374765706,"True"
131282506,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,14,43.8571250125415,"True"
131282510,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,18,43.6360663301933,"True"
131282514,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,22,43.4058952330183,"True"
131282516,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,24,41.7624476573797,"True"
131282519,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,28,42.8617034076205,"True"
131282525,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,35,41.5703596138632,"True"
131282527,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,37,47.313981331051,"True"
131282528,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,38,41.1499351668218,"True"
131282530,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,40,43.835888265202,"True"
131282540,"YBR157C","ICS2","","dma324","Sec21_R3_Plate01",6,23,571,50,50.7242997724337,"True"
