"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
209899003,"YBR047W","FMP23","","dma226","Snf7_R2_Plate01",6,20,557,1,52.0072243079084,"True"
214266026,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,557,46,49.4942735135033,"True"
214266042,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,558,34,50.3574621593826,"True"
214266048,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,558,60,47.2827857709046,"True"
214266056,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,559,25,53.5667215341875,"True"
214266068,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,559,50,58.7050617430334,"True"
214266096,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,560,72,48.1015860204547,"True"
214266100,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,560,79,50.4836573155883,"True"
214266101,"YBR047W","FMP23","","dma226","Snf7_R3_Plate01",6,20,560,80,53.3441793634571,"True"
206493371,"YBR092C","PHO3","","dma262","Snf7_R1_Plate01",12,20,1136,116,63.1710525250003,"True"
206493372,"YBR092C","PHO3","","dma262","Snf7_R1_Plate01",12,20,1136,125,87.9460759975172,"True"
209913251,"YBR092C","PHO3","","dma262","Snf7_R2_Plate01",12,20,1133,1,52.5978183469315,"True"
209913254,"YBR092C","PHO3","","dma262","Snf7_R2_Plate01",12,20,1134,2,47.8917732606307,"True"
214300912,"YBR092C","PHO3","","dma262","Snf7_R3_Plate01",12,20,1134,11,48.3923560109712,"True"
214300918,"YBR092C","PHO3","","dma262","Snf7_R3_Plate01",12,20,1134,19,69.5959653461654,"True"
214300924,"YBR092C","PHO3","","dma262","Snf7_R3_Plate01",12,20,1136,11,57.1638541884116,"True"
206494383,"YBL003C","HTA2","","dma93","Snf7_R1_Plate01",15,18,1416,18,46.321128375276,"True"
206524962,"YBR171W","SEC66","","dma335","Snf7_R1_Plate01",8,21,753,6,55.3342611492224,"True"
206524970,"YBR171W","SEC66","","dma335","Snf7_R1_Plate01",8,21,754,36,68.3289642179763,"True"
206524981,"YBR171W","SEC66","","dma335","Snf7_R1_Plate01",8,21,756,7,49.1507906339354,"True"
214364288,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,761,22,52.0088416558719,"True"
214364291,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,761,32,54.696788361925,"True"
214364297,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,761,55,50.1845081274043,"True"
214364304,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,762,26,64.0656437081612,"True"
214364309,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,762,42,57.0972435093653,"True"
214364310,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,762,43,56.2106672604781,"True"
214364319,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,763,18,53.4844585020811,"True"
214364321,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,763,26,61.7116067807202,"True"
214364322,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,763,28,108.118634560774,"True"
214364323,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,763,31,137.394133631774,"True"
214364392,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,764,65,51.7465923355926,"True"
214364402,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,764,75,50.2592495641646,"True"
214364403,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,764,76,59.8657820838337,"True"
214364406,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,764,79,50.3468307276767,"True"
214364417,"YBR170C","NPL4","","dma336","Snf7_R3_Plate01",8,23,764,91,53.4244408760778,"True"
206571387,"YBR169C","SSE2","","dma314","Snf7_R1_Plate01",6,3,490,1,59.286317041281,"True"
206571397,"YBR169C","SSE2","","dma314","Snf7_R1_Plate01",6,3,490,11,317.450766633146,"True"
210054046,"YBR169C","SSE2","","dma314","Snf7_R2_Plate01",6,3,489,40,52.652126027804,"True"
210054064,"YBR169C","SSE2","","dma314","Snf7_R2_Plate01",6,3,490,16,66.6013421828044,"True"
210054120,"YBR169C","SSE2","","dma314","Snf7_R2_Plate01",6,3,492,34,52.2553369139555,"True"
210054141,"YBR169C","SSE2","","dma314","Snf7_R2_Plate01",6,3,492,55,54.088118008257,"True"
210054146,"YBR169C","SSE2","","dma314","Snf7_R2_Plate01",6,3,492,60,54.1900138344575,"True"
206573549,"YBR111C","YSA1","","dma271","Snf7_R1_Plate01",14,14,1301,1,47.0373294094991,"True"
206573551,"YBR111C","YSA1","","dma271","Snf7_R1_Plate01",14,14,1303,5,71.5811897616485,"True"
210055188,"YBR111C","YSA1","","dma271","Snf7_R2_Plate01",14,14,1301,16,221.215183083425,"True"
210055189,"YBR111C","YSA1","","dma271","Snf7_R2_Plate01",14,14,1302,8,53.500143581682,"True"
210055202,"YBR111C","YSA1","","dma271","Snf7_R2_Plate01",14,14,1304,29,55.3871394241141,"True"
206609946,"YCL061C","MRC1","","dma522","Snf7_R1_Plate02",7,11,618,13,50.8975791673076,"True"
214486200,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,617,4,50.2296752111518,"True"
214486213,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,617,17,55.8910207779824,"True"
214486234,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,617,38,52.998182264636,"True"
214486246,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,617,50,55.0268985039256,"True"
214486254,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,617,59,50.7692515402543,"True"
214486262,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,617,67,50.6803154275084,"True"
214486276,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,618,13,55.4489151567753,"True"
214486297,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,618,34,50.881527719856,"True"
214486316,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,619,10,50.167431941299,"True"
214486322,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,619,16,51.0332143298011,"True"
214486323,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,619,17,52.3672327109748,"True"
214486325,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,619,19,51.1307196346172,"True"
214486359,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,619,53,51.2068684659068,"True"
214486365,"YCL061C","MRC1","","dma522","Snf7_R3_Plate02",7,11,620,1,50.1292752445706,"True"
214496509,"YCR098C","GIT1","","dma607","Snf7_R3_Plate02",6,14,534,116,60.9061070191501,"True"
214496664,"YCR098C","GIT1","","dma607","Snf7_R3_Plate02",6,14,535,143,60.1373480564887,"True"
206636283,"YDL091C","UBX3","","dma696","Snf7_R1_Plate02",4,23,379,8,57.8618631425942,"True"
206636285,"YDL091C","UBX3","","dma696","Snf7_R1_Plate02",4,23,380,1,59.1891147385012,"True"
214516861,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,377,6,50.9330723189283,"True"
214516863,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,377,8,57.8524158955729,"True"
214516870,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,4,51.4331005937246,"True"
214516876,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,10,56.9427460963124,"True"
214516882,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,16,61.7554995783882,"True"
214516891,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,25,47.347653116924,"True"
214516894,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,28,47.0265343941316,"True"
214516898,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,32,51.7182794207852,"True"
214516899,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,33,51.0532861018493,"True"
214516900,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,34,47.9413149748607,"True"
214516903,"YDL091C","UBX3","","dma696","Snf7_R3_Plate02",4,23,379,37,52.9972552011453,"True"
206686702,"YDL006W","PTC1","","dma620","Snf7_R1_Plate02",8,16,733,9,50.9216981602338,"True"
206686710,"YDL006W","PTC1","","dma620","Snf7_R1_Plate02",8,16,735,6,53.0096041357987,"True"
206686711,"YDL006W","PTC1","","dma620","Snf7_R1_Plate02",8,16,735,8,50.4165399415706,"True"
206686712,"YDL006W","PTC1","","dma620","Snf7_R1_Plate02",8,16,736,1,53.2456434774887,"True"
206687227,"YDL001W","RMD1","","dma622","Snf7_R1_Plate02",8,20,749,5,54.3909345585284,"True"
206687234,"YDL001W","RMD1","","dma622","Snf7_R1_Plate02",8,20,751,6,113.584978995625,"True"
206687235,"YDL001W","RMD1","","dma622","Snf7_R1_Plate02",8,20,751,11,49.82773444769,"True"
206687238,"YDL001W","RMD1","","dma622","Snf7_R1_Plate02",8,20,752,1,62.9298372612315,"True"
214556889,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,2,49.6822398206278,"True"
214556896,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,9,69.2102808979057,"True"
214556897,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,10,60.6984590569105,"True"
214556898,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,11,49.757503090542,"True"
214556911,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,24,48.9942690685098,"True"
214556914,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,27,50.5913039287904,"True"
214556920,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,749,34,50.643024822328,"True"
214556927,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,750,6,52.9133878670978,"True"
214556945,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,751,23,57.953726950109,"True"
214556953,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,8,54.1118744506617,"True"
214556956,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,11,57.8736542464652,"True"
214556962,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,17,51.4564203314199,"True"
214556964,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,19,48.3750678638405,"True"
214556969,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,24,50.4693793769799,"True"
214556978,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,33,50.6940890309511,"True"
214556979,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,34,50.506968912825,"True"
214556981,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,36,54.0614106745008,"True"
214556986,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,41,50.3791104508093,"True"
214556987,"YDL001W","RMD1","","dma622","Snf7_R3_Plate02",8,20,752,42,52.0521715244367,"True"
206698917,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,909,20,58.1172710995051,"True"
206698922,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,4,56.247987650499,"True"
206698924,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,6,63.5325331691443,"True"
206698928,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,10,49.6560831427111,"True"
206698929,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,11,55.6198687659772,"True"
206698930,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,12,60.875202698654,"True"
206698932,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,14,48.3917367313075,"True"
206698933,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,15,49.4873771557332,"True"
206698936,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,18,58.1446795290536,"True"
206698937,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,19,49.0279613087473,"True"
206698938,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,20,57.4224529944388,"True"
206698943,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,25,54.4430190642827,"True"
206698945,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,27,52.268580432468,"True"
206698946,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,28,66.2811681547982,"True"
206698949,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,31,48.8006771605492,"True"
206698955,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,37,50.5541897386557,"True"
206698957,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,39,58.015005864594,"True"
206698958,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,40,57.4546276351414,"True"
206698959,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,910,41,49.4385442711985,"True"
206698963,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,911,4,56.4317695142413,"True"
206698967,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,911,8,50.4606869420197,"True"
206698973,"YDL033C","SLM3","","dma630","Snf7_R1_Plate02",10,12,911,14,49.4079268193209,"True"
