"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
164539398,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,569,21,47.397092587625,"True"
164539404,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,569,27,47.7353395970687,"True"
164539412,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,569,35,49.1438508243698,"True"
164539415,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,569,38,59.0812995331456,"True"
164539424,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,569,47,44.7572365981446,"True"
164539454,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,570,24,46.7752044040943,"True"
164539471,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,570,41,45.5762564112062,"True"
164539473,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,571,3,46.5008539196229,"True"
164539508,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,571,39,51.1316892600799,"True"
164539584,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,571,117,50.268418343343,"True"
164539590,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,572,8,57.5048050128556,"True"
164539653,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,572,73,54.9756885469535,"True"
164539657,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,572,77,72.2266309977933,"True"
164539676,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,572,96,45.3146359812101,"True"
164539677,"YBR157C","ICS2","","dma324","Spf1_R1_Plate01",6,23,572,97,45.7022889302606,"True"
164577498,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,3,43.3449260097345,"True"
164577501,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,6,55.2254292071162,"True"
164577502,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,7,44.1314712363142,"True"
164577504,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,10,61.0827137214838,"True"
164577506,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,12,44.5912839965921,"True"
164577512,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,19,49.4939223843032,"True"
164577513,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,20,60.6873383463032,"True"
164577515,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,22,45.56358738249,"True"
164577518,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,25,44.4086527923827,"True"
164577520,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,27,42.4184513963637,"True"
164577526,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,33,44.5301283630515,"True"
164577527,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,34,51.2030149389531,"True"
164577528,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,35,44.9139071027886,"True"
164577529,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,37,45.574052337058,"True"
164577530,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,38,44.0274063455049,"True"
164577531,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,39,48.532092293056,"True"
164577533,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,41,41.8128200935035,"True"
164577535,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,43,50.425973603799,"True"
164577536,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,44,47.4937987501187,"True"
164577537,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,45,51.7393669915776,"True"
164577538,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,46,53.1870139963262,"True"
164577542,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,50,46.5902348600214,"True"
164577543,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,51,44.704188524271,"True"
164577544,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,52,43.7203093406189,"True"
164577545,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,53,49.7428115473316,"True"
164577547,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,55,42.605520297031,"True"
164577549,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1389,57,48.219253559093,"True"
164577550,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,2,43.5799832532261,"True"
164577557,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,9,41.6294207103714,"True"
164577562,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,15,64.1387246786633,"True"
164577563,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,17,41.6893826987978,"True"
164577567,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,21,63.8750997731941,"True"
164577568,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,23,42.7327088998174,"True"
164577569,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,24,45.0783855104912,"True"
164577570,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,25,46.0516287533609,"True"
164577573,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,28,43.8036099690741,"True"
164577575,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,31,49.7620456831892,"True"
164577577,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,33,43.2975681356591,"True"
164577582,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,38,44.7682828397655,"True"
164577584,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,40,44.9944850693751,"True"
164577587,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,43,52.676412905097,"True"
164577588,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,44,55.2049844722828,"True"
164577589,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,45,48.8919880640591,"True"
164577590,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,46,45.2774889134223,"True"
164577591,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1390,47,42.6776095732865,"True"
164577592,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,3,42.5801224149378,"True"
164577600,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,11,42.654609563134,"True"
164577604,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,15,42.9539033773798,"True"
164577606,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,17,44.7939852530641,"True"
164577613,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,24,41.9306196803815,"True"
164577617,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,28,41.9960042150044,"True"
164577620,"YBL008W","HIR1","","dma90","Spf1_R1_Plate01",15,12,1391,31,41.7226157725229,"True"
